index,conc_GSSG
0,3.5
1,0.0
2,50.0
3,5.0
4,4.0
5,0.0
6,0.0
7,5.0
8,0.0
9,6.5
10,0.5
11,0.0
12,0.0
13,1.0
14,50.0
15,0.0
16,3.5
17,8.0
18,3.25
19,7.0
20,0.25
21,2.75
22,1.75
23,2.5
24,2.25
25,4.5
26,50.0
27,1.25
28,6.0
29,0.0
30,1.5
31,5.5
32,0.0
33,2.0
34,0.75
35,5.0
36,3.0
37,4.0
38,1.0
39,1.5
40,0.0
41,50.0
42,0.0
43,0.0
44,2.0
45,0.0
46,0.0
47,3.0
48,0.0
49,3.75
50,0.5
51,0.0
52,0.0
53,7.5
54,0.0
55,50.0
56,0.0
57,0.0
58,11.0
59,0.0
60,1.0
61,0.0
62,8.0
63,10.0
64,8.0
65,13.0
66,0.0
67,0.0
68,8.0
69,9.0
70,4.0
71,0.0
72,3.0
73,0.0
74,2.0
75,0.0
76,0.0
77,5.0
78,0.0
79,0.0
80,14.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,11.0
87,0.0
88,50.0
89,0.0
90,10.0
91,7.0
92,0.0
93,15.0
94,0.0
95,12.0
96,7.0
97,0.0
98,6.0
99,13.0
100,14.0
101,50.0
102,0.0
103,9.0
104,0.0
105,0.0
106,12.0
