BSA,PEG,phos
0.0,1.0,5
2.0,11.0,6
3.0,30.0,7
4.0,35.0,10
8.0,37.0,12
9.0,41.0,13
16.0,46.0,14
20.0,60.0,15
21.0,69.0,17
22.0,77.0,18
28.0,81.0,19
34.0,88.0,23
39.0,92.0,24
49.0,107.0,25
52.0,112.0,26
53.0,113.0,27
56.0,116.0,29
57.0,118.0,31
61.0,126.0,32
64.0,131.0,33
90.0,133.0,36
93.0,135.0,38
100.0,136.0,40
104.0,139.0,42
105.0,143.0,43
106.0,145.0,44
111.0,,45
114.0,,47
119.0,,48
121.0,,50
123.0,,51
130.0,,54
132.0,,55
138.0,,58
142.0,,59
,,62
,,63
,,65
,,66
,,67
,,68
,,70
,,71
,,72
,,73
,,74
,,75
,,76
,,78
,,79
,,80
,,82
,,83
,,84
,,85
,,86
,,87
,,89
,,91
,,94
,,95
,,96
,,97
,,98
,,99
,,101
,,102
,,103
,,108
,,109
,,110
,,115
,,117
,,120
,,122
,,124
,,125
,,127
,,128
,,129
,,134
,,137
,,140
,,141
,,144
